Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow,Riemann FlowLD20 Flow
"100347.0","-3.8190","-3.6496","-3.6479","-3.6474","0.0000"
"100348.0","-3.7919","-3.6777","-3.6481","-3.6474","0.0000"
"100349.0","-3.7094","-3.7015","-3.6481","-3.6474","0.0000"
"100350.0","-3.6885","-3.7171","-3.6482","-3.6474","0.0000"
"100351.0","-3.7579","-3.7282","-3.6483","-3.6474","0.0000"
"100352.0","-3.6278","-3.7276","-3.6482","-3.6474","0.0000"
"100353.0","-3.6278","-3.7267","-3.6482","-3.6474","0.0000"
"100354.0","-3.5286","-3.7120","-3.6481","-3.6474","0.0000"
"100355.0","-3.5210","-3.6878","-3.6480","-3.6474","0.0000"
"100356.0","-3.5090","-3.6581","-3.6478","-3.6474","0.0000"
"100357.0","-3.5073","-3.6269","-3.6477","-3.6474","0.0000"
"100358.0","-3.4625","-3.5940","-3.6475","-3.6474","0.0000"
"100359.0","-3.5599","-3.5790","-3.6474","-3.6474","0.0000"
"100360.0","-3.6310","-3.5733","-3.6474","-3.6474","0.0000"
"100361.0","-3.7013","-3.5676","-3.6475","-3.6474","0.0000"
"100362.0","-3.7946","-3.5843","-3.6476","-3.6474","0.0000"
"100363.0","-3.7762","-3.5991","-3.6477","-3.6474","0.0000"
"100364.0","-3.7552","-3.6218","-3.6478","-3.6474","0.0000"
"100365.0","-3.7511","-3.6448","-3.6480","-3.6474","0.0000"
"100366.0","-3.7334","-3.6672","-3.6480","-3.6474","0.0000"
"100367.0","-3.5878","-3.6753","-3.6480","-3.6474","0.0000"
"100368.0","-3.5911","-3.6882","-3.6479","-3.6474","0.0000"
"100369.0","-3.5447","-3.6866","-3.6478","-3.6474","0.0000"
"100370.0","-3.3999","-3.6635","-3.6476","-3.6474","0.0000"
"100371.0","-3.3495","-3.6283","-3.6473","-3.6474","0.0000"
"100372.0","-3.4215","-3.5910","-3.6470","-3.6474","0.0000"
"100373.0","-3.4491","-3.5583","-3.6468","-3.6474","0.0000"
"100374.0","-3.4785","-3.5307","-3.6467","-3.6474","0.0000"
"100375.0","-3.4462","-3.5002","-3.6465","-3.6474","0.0000"
"100376.0","-3.4816","-3.4750","-3.6463","-3.6474","0.0000"
"100377.0","-3.5233","-3.4685","-3.6462","-3.6474","0.0000"
"100378.0","-3.6759","-3.4770","-3.6462","-3.6474","0.0000"
